NOC,Year,Predicted_Total,
UKR,2024,15.54653733,14 
URU,2024,0.552828426,0 
USA,2024,100.3880961,87 
UZB,2024,9.017666435,8 
VAN,2024,0.154566476,0 
VEN,2024,3.594481702,3 
VIE,2024,2.147635082,2 
VIN,2024,0.070520593,0 
VNM,2024,0.258178543,0 
YEM,2024,0.123853883,0 
YUG,2024,2.661427979,2 
ZAM,2024,0.359100145,0 
ZIM,2024,1.271994802,1 
